product_id,repeat_intervals,mean_interval_days
880427,219,38.91324200913242
854405,219,76.71689497716895
865178,218,47.022935779816514
823704,218,71.27522935779817
13841744,215,31.986046511627908
968215,214,59.16355140186916
1108168,214,28.481308411214954
8160319,212,35.66509433962264
13842214,212,32.04716981132076
1045220,211,74.81042654028435
972931,210,69.24285714285715
865330,210,35.36190476190476
9835509,209,43.68421052631579
920308,209,34.64114832535885
838186,209,61.6267942583732
828867,209,59.97129186602871
845307,208,50.50961538461539
1055425,208,40.89423076923077
963835,206,33.95631067961165
1051323,205,61.8
1043301,205,70.43414634146342
10344585,205,35.546341463414635
919534,204,57.911764705882355
1011300,204,45.71078431372549
985893,203,47.073891625615765
7025106,203,36.1576354679803
1135768,203,38.433497536945815
823758,202,61.51485148514851
1027569,202,84.8069306930693
1012587,202,51.85643564356435
1098248,199,34.88944723618091
1070702,199,77.21105527638191
973861,198,69.79292929292929
1069621,198,74.83838383838383
1081189,197,43.95939086294416
987480,196,60.21938775510204
879528,196,44.39795918367347
859010,194,62.577319587628864
7440663,194,39.98969072164948
1075470,194,60.99484536082474
1041796,194,83.8917525773196
989075,193,56.880829015544045
1094955,193,81.71502590673575
1038663,193,49.751295336787564
901666,192,39.885416666666664
1127179,192,38.036458333333336
1015539,192,8.953125
995876,191,69.91623036649214
9527487,191,50.49214659685864
9420312,190,43.694736842105264
918335,190,72.86842105263158
1110244,190,53.82105263157895
930118,189,16.322751322751323
898068,189,65.0
849202,189,45.93121693121693
5568228,189,46.957671957671955
1038985,189,31.761904761904763
943233,188,60.898936170212764
5588666,188,48.5531914893617
1131438,188,50.51063829787234
1111072,188,67.62765957446808
1096343,188,68.68617021276596
1000753,188,63.66489361702128
951526,187,61.470588235294116
944139,186,55.344086021505376
9245106,185,56.50810810810811
885697,185,41.7027027027027
5584007,185,48.394594594594594
1054262,185,68.21621621621621
999779,184,55.84782608695652
922561,184,27.152173913043477
870780,184,51.14673913043478
839147,184,54.619565217391305
1111839,184,43.72826086956522
1033220,184,54.27717391304348
1013928,184,38.28260869565217
944137,183,55.87978142076503
933637,183,49.39344262295082
913202,183,51.557377049180324
13842090,183,30.579234972677597
948670,182,79.04945054945055
865705,182,34.07692307692308
5568489,182,30.923076923076923
969866,181,50.392265193370164
959985,181,36.209944751381215
834103,181,32.4585635359116
8011397,181,23.104972375690608
1010190,181,22.441988950276244
935284,180,60.84444444444444
921504,180,37.52777777777778
854754,180,35.394444444444446
8177622,180,35.1
1039589,180,65.38888888888889
874149,178,41.58426966292135
863802,178,49.10674157303371
12301100,178,78.26404494382022
1110793,178,73.02808988764045
1110142,178,66.86516853932584
1000237,178,42.81460674157304
1014948,177,65.42372881355932
1029112,176,20.5625
1002771,176,37.06818181818182
1135834,175,45.81142857142857
1067695,175,19.354285714285716
999270,174,75.72988505747126
971949,174,49.37931034482759
9677236,174,45.07471264367816
957736,174,48.97701149425287
5585727,174,34.57471264367816
1027168,174,69.3735632183908
993466,173,51.30057803468208
897954,173,72.26589595375722
968932,172,32.51744186046512
862732,172,29.569767441860463
981944,171,42.29824561403509
937626,171,31.906432748538013
856252,171,56.05263157894737
5587133,171,34.046783625730995
1115576,171,55.76608187134503
1102416,171,25.385964912280702
940766,170,78.91764705882353
885863,170,66.79411764705883
7025114,170,32.411764705882355
5582789,170,37.92941176470588
1049735,170,17.51764705882353
988693,169,59.10059171597633
5563693,169,23.40828402366864
1034686,169,69.4319526627219
977499,168,51.55952380952381
891141,168,31.44047619047619
8019716,168,51.92857142857143
1029504,168,61.535714285714285
963971,167,55.67065868263473
938566,167,70.1377245508982
921744,167,65.60479041916167
910291,167,55.91017964071856
902172,167,56.92814371257485
1089392,167,14.682634730538922
1074754,167,60.287425149700596
934427,166,43.3433734939759
845705,166,60.1566265060241
1126203,166,5.524096385542169
1093413,166,37.355421686746986
1012873,166,65.71084337349397
1005609,166,58.55421686746988
909268,164,41.98170731707317
830887,164,59.079268292682926
8065410,164,62.15853658536585
873203,163,65.920245398773
1088835,163,51.29447852760736
931671,162,61.78395061728395
6944571,162,32.41358024691358
1126310,162,16.820987654320987
9337581,161,57.63975155279503
5585639,161,45.72670807453416
1016800,161,42.95031055900621
972569,160,25.54375
